200	04	1	211
201	05	1	217
202	04	1	217
203	04	3	218
204	01	3	212
205	04	1	217
206	04	3	218
207	04	1	217
208	04	3	218
209	04	1	217
210	07	6	214
211	01	5	
212	01	1	
213	04	1	217
214	02	1	219
215	07	1	202
216	00		
204	03	3	218
217	02	1	
218	02	1	
219	01	1	
200	04	1	
201	05	1	114
202	04	1	114
203	04	3	117
204	01	3	
205	04	1	114
206	04	3	117
207	04	1	114
208	04	3	117
209	04	1	114
210	07	6	104
211	01	5	
212	01	1	
213	04	1	114
214	02	1	
215	07	1	118
216	00		
204	03	3	117
217	02	1	
218	02	1	
219	01	1	
101	09	114	
102	04	2	116
103	05	2	117
104	03	2	117
105	04	3	117
106	01	3	116
107	05	3	117
108	06	3	114
109	07	2	104
110	08	2	118
111	05	2	115
112	10	115	
113	00		
114	02	1	
115	02	1	
116	01	1	
117	02	1	
118	01	2	
